content,content_lower,content_no_punctuation,content_no_emoji,content_no_stopwords,processed,predicted
"Sangat bagus sekali app tokocrypto, kemarin saya minta masukan supaya deposit dipercepat dan langsung direspon oleh team tokocrypto sehingga deposit bisa langsung masuk, dan yang lebinh hebatnya lagi kitim langsung crypto dari binance biayanya sangat murah, dan dengan kecepatan tinggi. Salut untuk tokocrypto semoga menjadi exchange crypto di indonesia, FYI tokocrypto sudah resmi dan diawasi oleh BAPEPTI nice, salam to the moon 🚀🚀🚀","sangat bagus sekali app tokocrypto, kemarin saya minta masukan supaya deposit dipercepat dan langsung direspon oleh team tokocrypto sehingga deposit bisa langsung masuk, dan yang lebinh hebatnya lagi kitim langsung crypto dari binance biayanya sangat murah, dan dengan kecepatan tinggi. salut untuk tokocrypto semoga menjadi exchange crypto di indonesia, fyi tokocrypto sudah resmi dan diawasi oleh bapepti nice, salam to the moon 🚀🚀🚀",sangat bagus sekali app tokocrypto kemarin saya minta masukan supaya deposit dipercepat dan langsung direspon oleh team tokocrypto sehingga deposit bisa langsung masuk dan yang lebinh hebatnya lagi kitim langsung crypto dari binance biayanya sangat murah dan dengan kecepatan tinggi salut untuk tokocrypto semoga menjadi exchange crypto di indonesia fyi tokocrypto sudah resmi dan diawasi oleh bapepti nice salam to the moon 🚀🚀🚀,sangat bagus sekali app tokocrypto kemarin saya minta masukan supaya deposit dipercepat dan langsung direspon oleh team tokocrypto sehingga deposit bisa langsung masuk dan yang lebinh hebatnya lagi kitim langsung crypto dari binance biayanya sangat murah dan dengan kecepatan tinggi salut untuk tokocrypto semoga menjadi exchange crypto di indonesia fyi tokocrypto sudah resmi dan diawasi oleh bapepti nice salam to the moon ,bagus app tokocrypto kemarin masukan deposit dipercepat langsung direspon team tokocrypto deposit langsung masuk lebinh hebatnya kitim langsung crypto binance biayanya murah kecepatan salut tokocrypto semoga exchange crypto indonesia fyi tokocrypto resmi diawasi bapepti nice salam to the moon,bagus app tokocrypto kemarin masuk deposit cepat langsung direspon team tokocrypto deposit langsung masuk lebinh hebat kitim langsung crypto binance biaya murah cepat salut tokocrypto moga exchange crypto indonesia fyi tokocrypto resmi awas bapepti nice salam to the moon,positive
Pilihan koin banyak. Jadi nagih terus mainnya.,pilihan koin banyak. jadi nagih terus mainnya.,pilihan koin banyak jadi nagih terus mainnya,pilihan koin banyak jadi nagih terus mainnya,pilihan koin nagih mainnya,pilih koin nagih main,negative
"lebih mudah dan cepat, apalagi digandeng sama binance","lebih mudah dan cepat, apalagi digandeng sama binance",lebih mudah dan cepat apalagi digandeng sama binance,lebih mudah dan cepat apalagi digandeng sama binance,mudah cepat digandeng binance,mudah cepat gandeng binance,positive
Identifikasi udah seminggu dikirim belum ada respon sama sekali ini maksud nya gimana?,identifikasi udah seminggu dikirim belum ada respon sama sekali ini maksud nya gimana?,identifikasi udah seminggu dikirim belum ada respon sama sekali ini maksud nya gimana,identifikasi udah seminggu dikirim belum ada respon sama sekali ini maksud nya gimana,identifikasi udah seminggu dikirim respon maksud nya gimana,identifikasi udah minggu kirim respon maksud nya gimana,negative
Aplikasi crypto yng cocok untuk pemula atau ahli karena banyak fitur fitur yang membantu dan menguntungkan banyak reward dan event setiap bulan nya,aplikasi crypto yng cocok untuk pemula atau ahli karena banyak fitur fitur yang membantu dan menguntungkan banyak reward dan event setiap bulan nya,aplikasi crypto yng cocok untuk pemula atau ahli karena banyak fitur fitur yang membantu dan menguntungkan banyak reward dan event setiap bulan nya,aplikasi crypto yng cocok untuk pemula atau ahli karena banyak fitur fitur yang membantu dan menguntungkan banyak reward dan event setiap bulan nya,aplikasi crypto yng cocok pemula ahli fitur fitur membantu menguntungkan reward event nya,aplikasi crypto yng cocok mula ahli fitur fitur bantu untung reward event nya,positive
"Pusing beda nama bank aja ga bisa ditarik mana ga ada dompet digital laen lagi kek link aja atau gopay heran , interfacenya ribet btw ga ada penjelasan juga bad lah pokonya","pusing beda nama bank aja ga bisa ditarik mana ga ada dompet digital laen lagi kek link aja atau gopay heran , interfacenya ribet btw ga ada penjelasan juga bad lah pokonya",pusing beda nama bank aja ga bisa ditarik mana ga ada dompet digital laen lagi kek link aja atau gopay heran  interfacenya ribet btw ga ada penjelasan juga bad lah pokonya,pusing beda nama bank aja ga bisa ditarik mana ga ada dompet digital laen lagi kek link aja atau gopay heran  interfacenya ribet btw ga ada penjelasan juga bad lah pokonya,pusing beda nama bank aja ga ditarik ga dompet digital laen kek link aja gopay heran interfacenya ribet btw ga penjelasan bad pokonya,pusing beda nama bank aja ga tarik ga dompet digital laen kek link aja gopay heran interfacenya ribet btw ga jelas bad poko,negative
Saya sangat sulit Verifikasi. Mohon di bantu,saya sangat sulit verifikasi. mohon di bantu,saya sangat sulit verifikasi mohon di bantu,saya sangat sulit verifikasi mohon di bantu,sulit verifikasi mohon bantu,sulit verifikasi mohon bantu,negative
Top,top,top,top,top,top,positive
DANA DAN CRYPTO MENGENDAP GEDHE BANGET JANNNCOKKKK,dana dan crypto mengendap gedhe banget jannncokkkk,dana dan crypto mengendap gedhe banget jannncokkkk,dana dan crypto mengendap gedhe banget jannncokkkk,dana crypto mengendap gedhe banget jannncokkkk,dana crypto endap gedhe banget jannncokkkk,negative
"mohon diperbaiki proses verifikasi KYC nya, saya sudah menunggu 7 hari tapi blm ada kepastian. UI sudah bagus dibndingkan dengan apk sebelah.","mohon diperbaiki proses verifikasi kyc nya, saya sudah menunggu 7 hari tapi blm ada kepastian. ui sudah bagus dibndingkan dengan apk sebelah.",mohon diperbaiki proses verifikasi kyc nya saya sudah menunggu 7 hari tapi blm ada kepastian ui sudah bagus dibndingkan dengan apk sebelah,mohon diperbaiki proses verifikasi kyc nya saya sudah menunggu 7 hari tapi blm ada kepastian ui sudah bagus dibndingkan dengan apk sebelah,mohon diperbaiki proses verifikasi kyc nya menunggu 7 blm kepastian ui bagus dibndingkan apk sebelah,mohon baik proses verifikasi kyc nya tunggu 7 blm pasti ui bagus dibndingkan apk belah,negative
"sistem Tokocrypto sangat lancar dan anti lag, untuk setoran sangat mudah, untuk penarikan biaya paling murah dan langsung masuk ke rekening.","sistem tokocrypto sangat lancar dan anti lag, untuk setoran sangat mudah, untuk penarikan biaya paling murah dan langsung masuk ke rekening.",sistem tokocrypto sangat lancar dan anti lag untuk setoran sangat mudah untuk penarikan biaya paling murah dan langsung masuk ke rekening,sistem tokocrypto sangat lancar dan anti lag untuk setoran sangat mudah untuk penarikan biaya paling murah dan langsung masuk ke rekening,sistem tokocrypto lancar anti lag setoran mudah penarikan biaya murah langsung masuk rekening,sistem tokocrypto lancar anti lag setor mudah tari biaya murah langsung masuk rekening,positive
"ampun saya alangkah ribet aplikasi ini,udah mintak goole authentivicator masukin OTP nya salah melulu,giliran bisa wd di pending 3 hari","ampun saya alangkah ribet aplikasi ini,udah mintak goole authentivicator masukin otp nya salah melulu,giliran bisa wd di pending 3 hari",ampun saya alangkah ribet aplikasi iniudah mintak goole authentivicator masukin otp nya salah melulugiliran bisa wd di pending 3 hari,ampun saya alangkah ribet aplikasi iniudah mintak goole authentivicator masukin otp nya salah melulugiliran bisa wd di pending 3 hari,ampun alangkah ribet aplikasi iniudah mintak goole authentivicator masukin otp nya salah melulugiliran wd pending 3,ampun alangkah ribet aplikasi iniudah mintak goole authentivicator masukin otp nya salah melulugiliran wd pending 3,negative
Downloadan mentok di 98% udah 3x instal,downloadan mentok di 98% udah 3x instal,downloadan mentok di 98 udah 3x instal,downloadan mentok di 98 udah 3x instal,downloadan mentok 98 udah 3x instal,downloadan mentok 98 udah 3x instal,negative
Loading ya lamaaaa... Aplikasinya berattt,loading ya lamaaaa... aplikasinya berattt,loading ya lamaaaa aplikasinya berattt,loading ya lamaaaa aplikasinya berattt,loading ya lamaaaa aplikasinya berattt,loading ya lamaaaa aplikasi berattt,negative
Aplikasi jual beli crypto yang aman dan cepat serta bisa melakukan transaksi 24 jam,aplikasi jual beli crypto yang aman dan cepat serta bisa melakukan transaksi 24 jam,aplikasi jual beli crypto yang aman dan cepat serta bisa melakukan transaksi 24 jam,aplikasi jual beli crypto yang aman dan cepat serta bisa melakukan transaksi 24 jam,aplikasi jual beli crypto aman cepat transaksi 24 jam,aplikasi jual beli crypto aman cepat transaksi 24 jam,positive
Bagus baget tokocrypto mudah dan ramah bagi penguna,bagus baget tokocrypto mudah dan ramah bagi penguna,bagus baget tokocrypto mudah dan ramah bagi penguna,bagus baget tokocrypto mudah dan ramah bagi penguna,bagus baget tokocrypto mudah ramah penguna,bagus baget tokocrypto mudah ramah penguna,positive
"Iming2 doank, kyc uda lama Rewardnya ngak ada.","iming2 doank, kyc uda lama rewardnya ngak ada.",iming2 doank kyc uda lama rewardnya ngak ada,iming2 doank kyc uda lama rewardnya ngak ada,iming2 doank kyc uda rewardnya ngak,iming2 doank kyc uda rewardnya ngak,negative
"Semenjak ada ini membantu banget perekonomian gw , cuan nya sangat melimpah bung terimakasih tokocrypto!!!","semenjak ada ini membantu banget perekonomian gw , cuan nya sangat melimpah bung terimakasih tokocrypto!!!",semenjak ada ini membantu banget perekonomian gw  cuan nya sangat melimpah bung terimakasih tokocrypto,semenjak ada ini membantu banget perekonomian gw  cuan nya sangat melimpah bung terimakasih tokocrypto,semenjak membantu banget perekonomian gw cuan nya melimpah terimakasih tokocrypto,semenjak bantu banget ekonomi gw cuan nya limpah terimakasih tokocrypto,positive
Mau regis aja failed terus,mau regis aja failed terus,mau regis aja failed terus,mau regis aja failed terus,regis aja failed,regis aja failed,negative
"makin ribet, mau tarik mau transfer harus verifikasinya ribet, gabisa pilih salah satu kayak binance, mau reset harus isi form lagi, selfi lagi, ga akan pernah pake apk ini lagi, langsung p2p aja binance!!!","makin ribet, mau tarik mau transfer harus verifikasinya ribet, gabisa pilih salah satu kayak binance, mau reset harus isi form lagi, selfi lagi, ga akan pernah pake apk ini lagi, langsung p2p aja binance!!!",makin ribet mau tarik mau transfer harus verifikasinya ribet gabisa pilih salah satu kayak binance mau reset harus isi form lagi selfi lagi ga akan pernah pake apk ini lagi langsung p2p aja binance,makin ribet mau tarik mau transfer harus verifikasinya ribet gabisa pilih salah satu kayak binance mau reset harus isi form lagi selfi lagi ga akan pernah pake apk ini lagi langsung p2p aja binance,ribet tarik transfer verifikasinya ribet gabisa pilih salah kayak binance reset isi form selfi ga pake apk langsung p2p aja binance,ribet tarik transfer verifikasi ribet gabisa pilih salah kayak binance reset isi form selfi ga pake apk langsung p2p aja binance,negative
"Saya sangat puas menggunakan aplikasi tokocrypto,mudah di gunakan dan sangat kompetibel,tempat investasi crypto paling baik","saya sangat puas menggunakan aplikasi tokocrypto,mudah di gunakan dan sangat kompetibel,tempat investasi crypto paling baik",saya sangat puas menggunakan aplikasi tokocryptomudah di gunakan dan sangat kompetibeltempat investasi crypto paling baik,saya sangat puas menggunakan aplikasi tokocryptomudah di gunakan dan sangat kompetibeltempat investasi crypto paling baik,puas aplikasi tokocryptomudah kompetibeltempat investasi crypto,puas aplikasi tokocryptomudah kompetibeltempat investasi crypto,positive
"Tokocrypto exchange crypto terbaik di Indonesia, dengan dukungan binance sudah tidak di ragukan lagi, semoga semakin berkembang lagi dan semakin menambah cuan 👍👍","tokocrypto exchange crypto terbaik di indonesia, dengan dukungan binance sudah tidak di ragukan lagi, semoga semakin berkembang lagi dan semakin menambah cuan 👍👍",tokocrypto exchange crypto terbaik di indonesia dengan dukungan binance sudah tidak di ragukan lagi semoga semakin berkembang lagi dan semakin menambah cuan 👍👍,tokocrypto exchange crypto terbaik di indonesia dengan dukungan binance sudah tidak di ragukan lagi semoga semakin berkembang lagi dan semakin menambah cuan ,tokocrypto exchange crypto terbaik indonesia dukungan binance ragukan semoga berkembang menambah cuan,tokocrypto exchange crypto baik indonesia dukung binance ragu moga kembang tambah cuan,positive
"Sangat direkomendasikan untuk pemula yang ingin memulai karir crypto, Tokocrypto tampilan sangat mudah dipahami bagi semua kalangan dan memiliki fitur-fitur yang sangat menarik❤️. Thank's Pang Xue Kai, salam to the moon!!👍👍👍","sangat direkomendasikan untuk pemula yang ingin memulai karir crypto, tokocrypto tampilan sangat mudah dipahami bagi semua kalangan dan memiliki fitur-fitur yang sangat menarik❤️. thank's pang xue kai, salam to the moon!!👍👍👍",sangat direkomendasikan untuk pemula yang ingin memulai karir crypto tokocrypto tampilan sangat mudah dipahami bagi semua kalangan dan memiliki fiturfitur yang sangat menarik❤️ thanks pang xue kai salam to the moon👍👍👍,sangat direkomendasikan untuk pemula yang ingin memulai karir crypto tokocrypto tampilan sangat mudah dipahami bagi semua kalangan dan memiliki fiturfitur yang sangat menarik thanks pang xue kai salam to the moon,direkomendasikan pemula karir crypto tokocrypto tampilan mudah dipahami kalangan memiliki fiturfitur menarik thanks pang xue kai salam to the moon,rekomendasi mula karir crypto tokocrypto tampil mudah paham kalang milik fiturfitur tarik thanks pang xue kai salam to the moon,positive
Gak sia sia download tokocrypto di masa masa sulit mencari pekerjaan seperti ini.Aplikasinya sangat mudah dari awal pendaftaran sampai penarikan.UI nya juga tidak membosankan.Menurut saya Tokocrypto adalah exchange crypto terbaik di Indonesia untuk saat ini.Semangat untuk tim Tokocrypto agar lebih mengembangkan aplikasinya hari demi hari.,gak sia sia download tokocrypto di masa masa sulit mencari pekerjaan seperti ini.aplikasinya sangat mudah dari awal pendaftaran sampai penarikan.ui nya juga tidak membosankan.menurut saya tokocrypto adalah exchange crypto terbaik di indonesia untuk saat ini.semangat untuk tim tokocrypto agar lebih mengembangkan aplikasinya hari demi hari.,gak sia sia download tokocrypto di masa masa sulit mencari pekerjaan seperti iniaplikasinya sangat mudah dari awal pendaftaran sampai penarikanui nya juga tidak membosankanmenurut saya tokocrypto adalah exchange crypto terbaik di indonesia untuk saat inisemangat untuk tim tokocrypto agar lebih mengembangkan aplikasinya hari demi hari,gak sia sia download tokocrypto di masa masa sulit mencari pekerjaan seperti iniaplikasinya sangat mudah dari awal pendaftaran sampai penarikanui nya juga tidak membosankanmenurut saya tokocrypto adalah exchange crypto terbaik di indonesia untuk saat inisemangat untuk tim tokocrypto agar lebih mengembangkan aplikasinya hari demi hari,gak sia sia download tokocrypto sulit mencari pekerjaan iniaplikasinya mudah pendaftaran penarikanui nya membosankanmenurut tokocrypto exchange crypto terbaik indonesia inisemangat tim tokocrypto mengembangkan aplikasinya,gak sia sia download tokocrypto sulit cari kerja iniaplikasinya mudah daftar penarikanui nya membosankanmenurut tokocrypto exchange crypto baik indonesia inisemangat tim tokocrypto kembang aplikasi,positive
